Date,Open,High,Low,Close,Volume
8/16/2012,90.1729,90.9657,90.0714,90.9057,63633500
8/15/2012,90.1857,90.5714,89.6786,90.1186,64335600
8/14/2012,90.2671,91.23,90.03,90.2414,85042300
8/13/2012,89.0557,90,89.0357,90,69708100
8/10/2012,88.3871,88.8229,88.3857,88.8143,48734700
8/9/2012,88.2643,88.8186,88.2571,88.6757,55410600
8/8/2012,88.4843,89.1257,88.1571,88.5514,61176500
8/7/2012,88.9671,89.2857,88.2914,88.702,72611700
8/6/2012,88.1843,89.2669,87.8943,88.9357,75525800
8/3/2012,87.6614,88.2829,87.3657,87.9571,86230200
8/2/2012,86.12,87.2414,85.75,86.8271,83039600
8/1/2012,87.9864,88.0571,86.1429,86.6871,96125400
7/31/2012,86.1757,87.3857,86.1029,87.2514,115581900
7/30/2012,84.4171,85.6343,83.9743,85.0043,94785600
7/27/2012,82.1443,83.69,81.6557,83.5943,100984100
7/26/2012,82.8229,82.9143,81.48,82.1257,101658200
7/25/2012,82.0657,82.9714,81.4286,82.1386,219328200
7/24/2012,86.7686,87.0971,85.5014,85.8457,141283100
7/23/2012,84.9143,86.5571,83.9586,86.2614,121993900
7/20/2012,87.5757,87.7771,86.2429,86.3286,99367800
7/19/2012,87.3257,87.9071,86.5714,87.76,109215400
7/18/2012,86.6557,86.9057,86.2229,86.6086,63175000
7/17/2012,87.2557,87.3571,86.1643,86.7057,73406200
7/16/2012,86.4457,87.3743,86.4314,86.7014,75315100
7/13/2012,86.1357,86.7414,85.7143,86.4243,77856800
7/12/2012,85.7486,86.21,84.6686,85.5571,107010400
7/11/2012,86.5886,86.8086,85.3171,86.3471,117330500
7/10/2012,88.2814,88.5529,86.4729,86.8871,127989400
7/9/2012,86.4714,87.7,86.3014,87.6986,94851400
7/6/2012,86.7271,86.92,85.94,86.5543,104732600
7/5/2012,85.7943,87.7629,85.6643,87.1343,121095800
7/3/2012,84.9829,85.7143,84.8571,85.63,60428200
7/2/2012,83.5329,84.7814,83.3714,84.6457,100023000
6/29/2012,82.5714,83.4286,82.0357,83.4286,105375200
6/28/2012,81.6671,82,80.8014,81.2929,70709100
6/27/2012,82.1429,82.3914,81.7029,82.0714,50749300
6/26/2012,81.6186,82.07,81.0471,81.7179,69134100
6/25/2012,82.4714,82.8286,81.4814,81.5379,76095600
6/22/2012,82.72,83.17,82.2029,83.1571,71117900
6/21/2012,83.6343,84.0314,82.4914,82.5243,81587800
6/20/2012,84.03,84.1786,82.9714,83.6773,89735800
6/19/2012,83.3429,84.2857,83.3,83.9157,90351100
6/18/2012,81.5657,83.9843,81.4814,83.6829,110103000
6/15/2012,81.5714,82.0886,81.3643,82.0186,83813800
6/14/2012,81.6057,81.9286,81.0371,81.6471,86393300
6/13/2012,82.0743,82.64,81.4829,81.7371,73395000
6/12/2012,82.0657,82.3743,80.9571,82.3086,108845100
6/11/2012,83.96,84.0714,81.5186,81.5957,147816200
6/8/2012,81.6571,82.9406,81.2857,82.9029,86879100
6/7/2012,82.47,82.4743,81.5,81.6743,94941700
6/6/2012,81.11,81.9786,80.7857,81.6371,100363900
6/5/2012,80.1814,80.9243,79.7614,80.4043,97053600
6/4/2012,80.2143,81.0714,78.3571,80.6129,139248900
6/1/2012,81.3086,81.8071,80.0743,80.1414,130246900
5/31/2012,82.9629,83.0714,81.6371,82.5329,122918600
5/30/2012,81.3143,82.8557,80.9371,82.7386,132357400
5/29/2012,81.5571,82,80.7586,81.7529,95127200
5/25/2012,80.6557,80.8357,79.7817,80.3271,82126800
5/24/2012,82.2671,82.3571,80.1757,80.76,124057500
5/23/2012,79.6429,81.8286,79.0329,81.5086,146224400
5/22/2012,81.3643,81.9829,78.94,79.5671,173717600
5/21/2012,76.3571,80.22,76.2929,80.1829,157776500
5/18/2012,76.28,77.63,74.5971,75.7686,183073100
5/17/2012,77.9014,78.2143,75.7314,75.7314,179305000
5/16/2012,79.15,79.5557,77.2914,78.0107,140224000
5/15/2012,80.2071,80.46,78.8214,79.0243,119084000
5/14/2012,80.3671,81.0729,79.6571,79.7457,88156600
5/11/2012,80.7143,82.0671,80.6214,80.9586,99886500
5/10/2012,82.0829,82.2686,81.2059,81.5029,83300000
5/9/2012,80.5286,81.9968,80.1214,81.3114,120176000
5/8/2012,81.3686,81.6429,79.8186,81.1686,124313000
5/7/2012,80.2143,81.8243,80.1757,81.3543,115029600
5/4/2012,82.44,82.6229,80.7386,80.75,132498100
5/3/2012,84.3571,84.4857,82.9,83.1171,97637400
5/2/2012,82.8914,83.9143,82.6943,83.7114,106847300
5/1/2012,83.5571,85.2514,83.0329,83.1614,152749800
4/30/2012,85.4,85.4857,83.2857,83.4257,126536200
4/27/2012,86.4386,86.5971,85.7857,86.1429,101680600
4/26/2012,87.7529,87.8129,86.0186,86.8143,134017100
4/25/2012,87.9479,88.2857,86.5714,87.1429,226444400
4/24/2012,80.3729,81.0986,79.2857,80.04,269037300
4/23/2012,81.5157,82.3814,79.5171,81.6714,241632300
4/20/2012,84.4829,84.9457,81.4886,81.8543,257746300
4/19/2012,85.7457,86.3903,83.5029,83.92,208679800
4/18/2012,87.6743,88.6071,86.1014,86.9057,238632800
4/17/2012,82.7057,87.1429,81.7014,87.1,256382000
4/16/2012,87.1514,87.1829,82.6071,82.8757,262696700
