,Open,High,Close
784,109.88,111.32,110.88
785,110.31,111.72,111.06
786,110.08,110.51,110.41
787,108.53,110.25,108.84
788,110.98,111.46,109.83
789,111.4,112.35,111.59
790,113.46,113.77,111.49
791,113.65,114.23,113.54
792,113.87,115.21,113.72
793,115.39,115.86,114.48
794,114.31,115.7,115.59
795,117.95,118.36,118.25
796,117.1,117.74,117.65
797,116.81,116.91,116.6
798,116.86,117.38,117.06
799,117.25,117.76,117.12
800,118.18,118.21,117.47
801,117.33,117.84,117.55
802,117.88,118.17,117.63
803,116.79,117.44,116.98
804,117.35,117.98,117.34
805,117.7,118.69,116.3
806,115.02,116.75,116.05
807,114.31,114.56,114.06
808,113.7,114.34,113.89
809,113.4,113.66,113.05
810,113.06,114.31,113.0
811,112.71,113.05,112.52
812,112.46,113.37,113.05
813,113.16,113.8,112.18
814,113.69,114.64,113.95
815,113.0,113.18,113.09
816,111.64,113.39,112.88
817,114.42,114.79,112.71
818,114.35,114.94,114.62
819,113.85,113.98899999999999,113.55
820,113.05,114.12,113.57
821,115.19,116.18,113.58
822,115.12,116.13,114.92
823,113.86,115.73,115.57
824,108.73,113.03,111.77
825,107.51,108.79,107.95
826,102.65,105.72,105.44
827,104.64,105.72,103.13
828,107.25,107.27,105.52
829,107.83,108.76,108.36
830,107.9,108.3,107.7
831,107.7,108.0,107.73
832,106.14,106.8,106.73
833,105.66,106.5699,106.1
834,105.8,106.5,106.0
835,106.62,107.44,106.82
836,107.41,107.95,106.94
837,107.39,107.88,107.57
838,108.565,108.75,108.03
839,108.59,109.32,108.85
840,108.86,109.1,108.51
841,108.77,109.69,109.36
842,109.23,109.6,109.08
843,109.1,109.37,109.22
844,109.63,110.23,109.38
845,108.14,109.54,109.48
846,107.78,108.44,108.18
847,108.52,108.93,107.93
848,108.71,108.9,108.0
849,108.23,108.94,108.81
850,107.52,108.37,108.37
851,106.27,107.65,107.48
852,105.58,106.0,105.87
853,104.81,105.84,105.79
854,106.05,106.07,104.48
855,104.41,106.15,106.05
856,104.19,104.55,104.21
857,102.83,104.45,104.34
858,104.265,104.35,102.95
859,96.82,97.97,96.67
860,98.25,98.84,97.34
861,99.26,99.3,98.66
862,99.83,101.0,99.43
863,100.0,100.46,99.96
864,99.56,100.0,99.87
865,98.7,100.13,99.83
866,98.92,99.3,98.78
867,97.39,98.99,98.79
868,97.41,97.67,96.87
869,97.17,97.7,97.42
870,96.75,97.65,96.98
871,96.49,96.89,96.68
872,95.7,96.5,95.94
873,94.6,95.66,95.53
874,95.39,95.4,94.99
875,95.49,96.465,95.89
876,94.44,95.77,95.6
877,93.97,94.55,94.4
878,92.9,93.66,93.59
879,93.0,93.05,92.04
880,92.91,94.655,93.4
881,95.94,96.29,96.1
882,96.25,96.89,95.55
883,94.94,96.35,95.91
